【大梁】
符号名：断面,符号名,共通符号名,階数,断面位置,断面,ｺﾝｸﾘｰﾄ:ｂ×Ｄ,ｺﾝｸﾘｰﾄ:荷重剛性用,主筋:上端,主筋:下端,主筋:材料:上端,主筋:材料:下端,かぶり・あき:上端mm,かぶり・あき:下端mm,あばら筋:　,あばら筋:材料
RG1:左端,RG1,G1,RFL層,左端,,450×800(Fc24),450×850,4/1-D25,4-D25,SD345,SD345,50/37.5,60,2-D13@200,SD295A
RG1:中央,RG1,G1,RFL層,中央,,450×800(Fc24),450×850,4-D25,4-D25,SD345,SD345,50,60,2-D13@200,SD295A
RG1:右端,RG1,G1,RFL層,右端,,450×800(Fc24),450×850,4/2-D25,4-D25,SD345,SD345,50/37.5,60,2-D13@200,SD295A
10G1:左端,10G1,G1,10FL層,左端,,450×800(Fc24),,4/2-D25,4-D25,SD345,SD345,50/37.5,60,3-D13@150,SD295A
10G1:中央,10G1,G1,10FL層,中央,,450×800(Fc24),,4-D25,4-D25,SD345,SD345,50,60,3-D13@150,SD295A
10G1:右端,10G1,G1,10FL層,右端,,450×800(Fc24),,4/3-D25,4/1-D25,SD345,SD345,50/37.5,60/37.5,3-D13@150,SD295A
9G1:左端,9G1,G1,9FL層,左端,,450×800(Fc27),,4/2-D29,4/1-D29,SD390,SD390,50/43.5,60/43.5,2-TA13@150,SPR685
9G1:中央,9G1,G1,9FL層,中央,,450×800(Fc27),,4-D29,4-D29,SD390,SD390,50,60,2-TA13@150,SPR685
9G1:右端,9G1,G1,9FL層,右端,,450×800(Fc27),,4/3-D29,4/2-D29,SD390,SD390,50/43.5,60/43.5,2-TA13@150,SPR685
8G1:左端,8G1,G1,8FL層,左端,,550×800(Fc27),,5/3-D29,5/1-D29,SD390,SD390,50/43.5,60/43.5,2-TA13@150,SPR685
8G1:中央,8G1,G1,8FL層,中央,,550×800(Fc27),,5-D29,5-D29,SD390,SD390,50,60,2-TA13@150,SPR685
8G1:右端,8G1,G1,8FL層,右端,,550×800(Fc27),,5/3-D29,5/2-D29,SD390,SD390,50/43.5,60/43.5,2-TA13@150,SPR685
7G1:左端,7G1,G1,7FL層,左端,,550×800(Fc30),,5/3-D32,5/2-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
7G1:中央,7G1,G1,7FL層,中央,,550×800(Fc30),,5-D32,5-D32,SD390,SD390,50,60,3-TA13@150,SPR685
7G1:右端,7G1,G1,7FL層,右端,,550×800(Fc30),,5/4-D32,5/3-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
6G1:左端,6G1,G1,6FL層,左端,,550×800(Fc30),,5/3-D32,5/2-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
6G1:中央,6G1,G1,6FL層,中央,,550×800(Fc30),,5-D32,5-D32,SD390,SD390,50,60,3-TA13@150,SPR685
6G1:右端,6G1,G1,6FL層,右端,,550×800(Fc30),,5/4-D32,5/3-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
5G1:左端,5G1,G1,5FL層,左端,,650×800(Fc30),,6/3-D32,6/2-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
5G1:中央,5G1,G1,5FL層,中央,,650×800(Fc30),,6-D32,6-D32,SD390,SD390,50,60,3-TA13@150,SPR685
5G1:右端,5G1,G1,5FL層,右端,,650×800(Fc30),,6/4-D32,6/3-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
3G1:左端,4G1,G1,4FL層～3FL層,左端,,650×800(Fc30),,6/3-D32,6/2-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
4G1:左端,4G1,G1,4FL層～3FL層,左端,,650×800(Fc30),,6/3-D32,6/2-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
3G1:中央,4G1,G1,4FL層～3FL層,中央,,650×800(Fc30),,6-D32,6-D32,SD390,SD390,50,60,3-TA13@150,SPR685
4G1:中央,4G1,G1,4FL層～3FL層,中央,,650×800(Fc30),,6-D32,6-D32,SD390,SD390,50,60,3-TA13@150,SPR685
3G1:右端,4G1,G1,4FL層～3FL層,右端,,650×800(Fc30),,6/4-D32,6/3-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
4G1:右端,4G1,G1,4FL層～3FL層,右端,,650×800(Fc30),,6/4-D32,6/3-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
2G1:左端,2G1,G1,2FL層,左端,,650×800(Fc30),,6/3-D32,6/2-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
2G1:中央,2G1,G1,2FL層,中央,,650×800(Fc30),,6-D32,6-D32,SD390,SD390,50,60,3-TA13@150,SPR685
2G1:右端,2G1,G1,2FL層,右端,,650×800(Fc30),,6/4-D32,6/3-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
RG2:左端,RG2,G2,RFL層,左端,,450×800(Fc24),450×850,4/2-D25,4-D25,SD345,SD345,50/37.5,60,2-D13@200,SD295A
