【大梁】
符号名：断面,符号名,共通符号名,階数,断面位置,断面,ｺﾝｸﾘｰﾄ:ｂ×Ｄ,主筋:上端,主筋:下端,主筋:材料:上端,主筋:材料:下端,かぶり・あき:上端mm,かぶり・あき:下端mm,あばら筋:　,あばら筋:材料
RG1:左端,RG1,G1,R層,左端,,500×750(Fc24),4/1-D25,4-D25,SD345,SD345,50/37.5,50,2-D13@200,SD295A
RG1:中央,RG1,G1,R層,中央,,500×750(Fc24),4-D25,4-D25,SD345,SD345,50,50,2-D13@200,SD295A
RG1:右端,RG1,G1,R層,右端,,500×750(Fc24),4/1-D25,4-D25,SD345,SD345,50/37.5,50,2-D13@200,SD295A
RG2:全断面,RG2,G2,R層,全断面,,500×750(Fc24),4/1-D25,4-D25,SD345,SD345,50/37.5,50,2-TA13@150,SPR685
15G1:左端,15G1,G1,15層,左端,,500×750(Fc27),4/2-D29,4-D29,SD390,SD390,50/43.5,50,3-D13@150,SD295A
15G1:中央,15G1,G1,15層,中央,,500×750(Fc27),4-D29,4-D29,SD390,SD390,50,50,3-D13@150,SD295A
15G1:右端,15G1,G1,15層,右端,,500×750(Fc27),4/2-D29,4-D29,SD390,SD390,50/43.5,50,3-D13@150,SD295A
15G2:全断面,15G2,G2,15層,全断面,,500×750(Fc27),4/2-D29,4-D29,SD390,SD390,50/43.5,50,3-TA13@150,SPR685
14G1:左端,14G1,G1,14層,左端,,500×750(Fc27),4/2-D32,4-D32,SD390,SD390,50/48.0,50,4-D13@150,SD295A
14G1:中央,14G1,G1,14層,中央,,500×750(Fc27),4-D32,4-D32,SD390,SD390,50,50,4-D13@150,SD295A
14G1:右端,14G1,G1,14層,右端,,500×750(Fc27),4/2-D32,4-D32,SD390,SD390,50/48.0,50,4-D13@150,SD295A
14G2:全断面,14G2,G2,14層,全断面,,500×750(Fc27),4/2-D32,4-D32,SD390,SD390,50/48.0,50,4-TA13@150,SPR685
13G1:左端,13G1,G1,13層,左端,,600×750(Fc30),5/3-D32,5/1-D32,SD390,SD390,50/48.0,50/48.0,4-D13@125,SD295A
